id,twitter_id,handles,degree_range,snapshot_range
423,162448017,"vspanakis",1714-3272,"19-48"
424,1734838562,"Vrizidou_Vicky",33-45,"19-48"
425,93629265,"xrisalex",1212-2111,"19-48"
426,823985090925576194,"Mamoulakis",407-4648,"19-48"
427,579067205,"velopky",20363-23114,"19-39"
428,2181688916,"T_Cheimaras",92-185,"19-48"
429,414090002,"ngiannakopoulou",2059-3928,"19-48"
430,4187615537,"imouzalas",1494-1612,"19-48"
431,3100185977,"g_psychogios",194-1306,"19-48"
432,1059819442572611584,"PetiPerka",116-498,"19-48"
433,590082909,"MarkopoulosDimi",1430-1469,"19-48"
434,3410091958,"t_bartzokas",208-408,"19-48"
435,546169921,"PapachristTh",181-201,"19-48"
436,2443992852,"raptizoi",859-3766,"19-48"
437,557560811,"Stathis_Konst",20-32,"19-48"
438,32475807,"michaelkatrinis",2827-5064,"19-48"
439,410883378,"vnaypsilantis",762-992,"19-48"
440,359478003,"giannoul",1719-3758,"19-42"
441,1141433832769503238,"NoniDounia",109-228,"19-48"
442,2245911122,"vdigalakis",138-665,"19-48"
443,983983199012425728,"katenotopoulou",2790-6549,"19-48"
444,547869595,"PapadopoulosMix",993-1013,"19-48"
445,1150728876424867840,"georgantasgr",389-2663,"19-48"
446,947930930202673153,"ioannis_mpougas",340-987,"19-48"
447,21152451,"MVoloudakis",3934-4398,"19-48"
448,92969084,"karsenis",4284-5658,"19-48"
449,2458564941,"KonstantinaAda1",14-17,"19-48"
450,1149205366930071552,"theodorikakosp",3605-15774,"19-48"
451,1259340614,"PanasApostolos",283-517,"19-48"
452,340183590,"fbaraliakos",1206-1514,"19-48"
453,1304901391,"stergiannakis",31-35,"19-33"
454,759834368168910849,"BiziouStella",302-1243,"19-48"
455,974974055731355654,"tsiaras_kostas",1112-4330,"19-48"
456,779274745854451713,"GIANNISFLORINA",174-235,"19-48"
457,801812686954725377,"d_tzanakopoulos",12598-22160,"19-48"
458,338861628,"ZeybekHuseyin",2281-2551,"19-48"
459,7005602,"GPapandreou",10200-15763,"19-48"
